	title	link	source	salary_min	salary_max
0	Ведущий аналитик	https://hhcdn.ru/click	hh.ru		
1	Бизнес-аналитик	https://spb.hh.ru/vacancy/51195397	hh.ru		
2	Продуктовый аналитик (удаленно)	https://spb.hh.ru/vacancy/50854876	hh.ru		
3	Аналитик данных	https://spb.hh.ru/vacancy/49548884	hh.ru		
4	Аналитик направления цифрового маркетинга (BI\SQL\Python)	https://spb.hh.ru/vacancy/49881796	hh.ru		
5	Аналитик (техническая документация)	https://spb.hh.ru/vacancy/51720768	hh.ru	60000	
6	Аналитик по продажам	https://spb.hh.ru/vacancy/51725117	hh.ru	130000	
7	Андеррайтер / Кредитный аналитик МСБ (удаленно)	https://spb.hh.ru/vacancy/50701235	hh.ru		
8	Бизнес-аналитик	https://spb.hh.ru/vacancy/48420353	hh.ru		
9	Системный аналитик	https://spb.hh.ru/vacancy/49229072	hh.ru		
10	Системный аналитик	https://spb.hh.ru/vacancy/49614252	hh.ru		
11	Аналитик качества данных/Data Steward	https://spb.hh.ru/vacancy/51714877	hh.ru		
12	Разработчик отчетности/Аналитик данных	https://spb.hh.ru/vacancy/48328351	hh.ru		
13	Финансовый аналитик	https://spb.hh.ru/vacancy/51613168	hh.ru		
14	Системный аналитик в команду Штрафы	https://spb.hh.ru/vacancy/49970431	hh.ru		
15	Интернет-маркетолог/web-аналитик	https://spb.hh.ru/vacancy/51643745	hh.ru		
16	Ведущий аналитик данных / Senior data analyst	https://spb.hh.ru/vacancy/51711011	hh.ru		
17	Системный аналитик	https://spb.hh.ru/vacancy/50099980	hh.ru		
18	Аналитик (Бизнес-аналитик)	https://spb.hh.ru/vacancy/49294117	hh.ru		
19	Системный аналитик	https://spb.hh.ru/vacancy/49313691	hh.ru		
20	Аналитик по операционной эффективности	https://spb.hh.ru/vacancy/51715715	hh.ru	150000	
21	Аналитик данных / Data Analyst	https://spb.hh.ru/vacancy/51768885	hh.ru		220000
22	Аналитик Power BI/стажер	https://spb.hh.ru/vacancy/50865173	hh.ru	25000	
23	Аналитик / Бизнес-аналитик	https://spb.hh.ru/vacancy/51287074	hh.ru	200000	
24	Product Analyst	https://spb.hh.ru/vacancy/50929726	hh.ru		
25	Аналитик (экономический отдел)	https://spb.hh.ru/vacancy/51771472	hh.ru	91000	
26	Бизнес-аналитик (Junior)	https://spb.hh.ru/vacancy/51705080	hh.ru		
27	Аналитик (Удаленно)	https://spb.hh.ru/vacancy/51627722	hh.ru	100000	
28	Аналитик (экономический отдел)	https://spb.hh.ru/vacancy/51771473	hh.ru	91000	
29	Главный маркетолог-аналитик	https://spb.hh.ru/vacancy/50646831	hh.ru	1000000	
30	Аналитик данных (Департамент закупок)	https://spb.hh.ru/vacancy/33368305	hh.ru		150000
31	Старший аналитик данных и отчетности	https://spb.hh.ru/vacancy/51790376	hh.ru		
32	Аналитик данных / Data scientist	https://spb.hh.ru/vacancy/49598346	hh.ru		
33	Analyst	https://spb.hh.ru/vacancy/51353784	hh.ru		250000
34	Бизнес-аналитик (Junior)	https://spb.hh.ru/vacancy/51705705	hh.ru		
35	Стажер-аналитик Anaplan	https://spb.hh.ru/vacancy/51771274	hh.ru		
36	Ведущий digital-аналитик	https://spb.hh.ru/vacancy/49346713	hh.ru		
37	Бизнес-аналитик (аналитика бизнес-процессов)	https://spb.hh.ru/vacancy/50642850	hh.ru		
38	Аналитик в IT старт-ап	https://spb.hh.ru/vacancy/50738365	hh.ru		
39	Продуктовый аналитик/Senior product analyst	https://spb.hh.ru/vacancy/50453970	hh.ru		
40	Бизнес-аналитик	https://spb.hh.ru/vacancy/49955539	hh.ru		
41	Аналитик департамента продаж	https://spb.hh.ru/vacancy/50130071	hh.ru		
42	Начинающий аналитик по отчетности	https://spb.hh.ru/vacancy/49849691	hh.ru		44700
43	BI Analyst	https://spb.hh.ru/vacancy/51700507	hh.ru		250000
44	Системный аналитик	https://spb.hh.ru/vacancy/51695954	hh.ru		
45	Lead BI Аналитик / Ведущий Аналитик Данных (удаленно)	https://spb.hh.ru/vacancy/50914149	hh.ru		
46	Аналитик данных	https://spb.hh.ru/vacancy/50568773	hh.ru		
47	Аналитик (маркетинговые исследования; удалённая работа)	https://spb.hh.ru/vacancy/51616639	hh.ru		
48	Бизнес-аналитик	https://spb.hh.ru/vacancy/51599473	hh.ru		200000
49	Аналитик данных (продажи на маркетплейсах)	https://spb.hh.ru/vacancy/51720790	hh.ru		
50	Букмекер-аналитик	https://spb.hh.ru/vacancy/50577239	hh.ru		
51	CRM администратор / аналитик	https://spb.hh.ru/vacancy/50991212	hh.ru	140000	
52	Ведущий аналитик в команду маркетинга	https://spb.hh.ru/vacancy/51268510	hh.ru	200000	
53	Младший аналитик коммерческого отдела	https://spb.hh.ru/vacancy/51655381	hh.ru		15000
54	Бизнес-аналитик (удаленный формат работы)	https://spb.hh.ru/vacancy/51645646	hh.ru		
55	Аналитик на маркетплейсы	https://spb.hh.ru/vacancy/51411836	hh.ru	100000	
56	Старший/Ведущий системный аналитик	https://spb.hh.ru/vacancy/51058339	hh.ru		
57	Системный аналитик	https://spb.hh.ru/vacancy/50552288	hh.ru		
58	Финансовый аналитик	https://spb.hh.ru/vacancy/50912607	hh.ru		
59	Аналитик клиентских данных	https://spb.hh.ru/vacancy/50358503	hh.ru		
60	Младший аналитик	https://spb.hh.ru/vacancy/49189879	hh.ru	75000	
61	Аналитик	https://spb.hh.ru/vacancy/51789852	hh.ru		67500
62	Младший аналитик (можно без опыта)	https://spb.hh.ru/vacancy/51374916	hh.ru		
63	Аналитик	https://spb.hh.ru/vacancy/50888227	hh.ru		
64	Аналитик SQL	https://spb.hh.ru/vacancy/43342136	hh.ru		
65	Аналитик количественных исследований	https://spb.hh.ru/vacancy/51507809	hh.ru		
66	Аналитик С (удаленно)	https://spb.hh.ru/vacancy/51647313	hh.ru		
67	Аналитик по работе с маркетплейсами	https://spb.hh.ru/vacancy/50927192	hh.ru	90000	
68	Аналітик баз даних	https://spb.hh.ru/vacancy/51622064	hh.ru		
69	Senior Business Analyst	https://spb.hh.ru/vacancy/50704185	hh.ru	3000	
70	Бизнес-аналитик (удаленный формат работы)	https://spb.hh.ru/vacancy/51645647	hh.ru		
71	Аналитик данных	https://spb.hh.ru/vacancy/51650595	hh.ru	200000	
72	Аналитик в департамент маркетинга	https://spb.hh.ru/vacancy/51174309	hh.ru		
73	Бизнес-аналитик	https://spb.hh.ru/vacancy/51719072	hh.ru	100000	
74	Бизнес-аналитик	https://spb.hh.ru/vacancy/49937511	hh.ru		
75	Аналитик SQL	https://spb.hh.ru/vacancy/47913832	hh.ru		
76	Финансовый аналитик	https://spb.hh.ru/vacancy/51711521	hh.ru		
77	Проектный менеджер \ аналитик данных	https://spb.hh.ru/vacancy/51799748	hh.ru		
78	Аналитик данных (удаленно)	https://spb.hh.ru/vacancy/51791739	hh.ru		
79	Data Аналитик (удаленная работа)	https://spb.hh.ru/vacancy/51767648	hh.ru		
80	Аналитик данных / Data analyst	https://spb.hh.ru/vacancy/51692334	hh.ru		
81	Системный аналитик	https://spb.hh.ru/vacancy/51012017	hh.ru		
82	Младший системный аналитик/Junior systems analyst	https://spb.hh.ru/vacancy/51197816	hh.ru		
83	Бизнес-аналитик (junior/junior+)	https://spb.hh.ru/vacancy/51414269	hh.ru		
84	Бизнес-аналитик (управленческий консалтинг)	https://spb.hh.ru/vacancy/51343459	hh.ru		
85	Аналитик Департамент бизнес-анализа и развития	https://spb.hh.ru/vacancy/51212458	hh.ru	80500	
86	Аналитик отдела маркетинга	https://spb.hh.ru/vacancy/49991071	hh.ru	150000	
87	Стажер-аналитик ЦРПиУЗ	https://spb.hh.ru/vacancy/51769789	hh.ru		
